Code,Title,2010,2011,2012,2013,2014,2015,2016,2017
104,"Albany-Schenectady, NY CSA",1168972,1169575,1171161,1172846,1173179,1173210,1173098,1176079
106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",1149111,1157494,1161310,1162622,1161927,1162897,1167082,1171974
108,"Amarillo-Borger, TX CSA",274884,278005,279781,280741,282560,283289,284606,286300
118,"Appleton-Oshkosh-Neenah, WI CSA",393004,395049,397221,399252,400890,402288,403857,406540
120,"Asheville-Brevard, NC CSA",458423,461049,463997,468930,473018,478150,484385,490101
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",5928394,6002334,6084684,6154916,6247629,6354562,6457065,6555956
140,"Bend-Redmond-Prineville, OR CSA",178624,180231,181941,185963,190455,195757,203019,209998
142,"Birmingham-Hoover-Talladega, AL CSA",1344623,1345538,1348143,1352618,1355505,1358826,1360979,1364062
144,"Bloomington-Bedford, IN CSA",206188,207733,208754,208921,210080,210633,212189,213491
145,"Bloomington-Pontiac, IL CSA",225256,226124,227524,228499,226956,225573,225322,224750
146,"Bloomsburg-Berwick-Sunbury, PA CSA",264671,264669,264973,264486,264569,264251,262968,261629
147,"Boise City-Mountain Home-Ontario, ID-OR CSA",699087,706921,716928,728572,741955,753088,770213,790363
148,"Boston-Worcester-Providence, MA-RI-NH-CT CSA",7909845,7956343,8006386,8058931,8110878,8151618,8188440,8233270
150,"Bowling Green-Glasgow, KY CSA",211563,213289,214870,217114,219231,222565,225638,228743
154,"Brownsville-Harlingen-Raymondville, TX CSA",429815,435083,437568,439122,440781,441461,443526,445309
160,"Buffalo-Cheektowaga, NY CSA",1215942,1215888,1215092,1216026,1216650,1214668,1212675,1214204
162,"Cape Coral-Fort Myers-Naples, FL CSA",943068,958744,977136,999914,1026457,1057615,1088601,1112104
164,"Cape Girardeau-Sikeston, MO-IL CSA",135693,136064,136337,136377,136248,136213,135808,135323
168,"Cedar Rapids-Iowa City, IA CSA",411378,416289,420426,424043,428080,432639,436667,441784
170,"Charleston-Huntington-Ashland, WV-OH-KY CSA",708154,706422,705397,702555,698154,692417,686476,679734
172,"Charlotte-Concord, NC-SC CSA",2381690,2414148,2451615,2491577,2533819,2581668,2633501,2684121
174,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",924633,930174,936057,940368,943889,948286,954308,960782
176,"Chicago-Naperville, IL-IN-WI CSA",9850971,9876059,9903160,9924405,9935333,9929356,9916244,9901711
178,"Cincinnati-Wilmington-Maysville, OH-KY-IN CSA",2177147,2181987,2187376,2195443,2205487,2214532,2225068,2238265
184,"Cleveland-Akron-Canton, OH CSA",3513291,3505041,3498384,3499285,3500177,3493463,3487775,3485691
185,"Cleveland-Indianola, MS CSA",63082,62309,62392,61880,61201,60153,59023,57926
188,"Clovis-Portales, NM CSA",68986,70125,70952,70463,70476,69132,69250,68659
